TIC;DATE;HOUR;MIN;SEC;HDG;PITCH;HEEL;LAT;LON;EP_TARGET_SPEED;EP_M_POWER;EP_M_ROT_SPEED;LA_SPEED_PWM;LA_CUR_POS_ADC_FILT;LA_TARG_POS_ADC;LA_CUR_ADC_FILT;LA_CUR_AM;RUD_CUR_POS_DEG;SBUS[0];SBUS[1];SBUS[2];SBUS[3]
502;01.01.2000;0;0;0;0;0;0;0;0;0;1;0;0;2367;2327;26;0;165.35;861;999;476;929
603;01.01.2000;0;0;0;0;0;0;0;0;0;1;0;0;2367;2327;29;0;165.35;861;999;476;929
703;01.01.2000;0;0;0;0;0;0;0;0;0;1;0;0;2371;2325;28;0;165.35;865;996;480;928
803;01.01.2000;0;0;0;0;0;0;0;0;0;1;0;0;2371;2325;31;0;165.35;865;996;480;928
903;01.01.2000;0;0;0;0;0;0;0;0;0;1;0;0;2368;2325;32;0;165.35;865;996;480;928
1003;01.01.2000;0;0;1;0;0;0;0;0;0;1;0;0;2369;2327;32;0;165.35;864;999;476;929
1103;01.01.2000;0;0;1;0;0;0;0;0;0;1;0;0;2368;2327;33;0;165.35;864;999;476;929
1203;01.01.2000;0;0;1;0;0;0;0;0;0;1;0;0;2369;2327;34;0;165.35;864;999;476;929
1303;01.01.2000;0;0;1;0;0;0;0;0;0;1;0;0;2365;2325;35;0;165.35;864;999;476;928
1403;01.01.2000;0;0;1;0;0;0;0;0;0;1;0;0;2366;2325;35;0;165.35;864;999;476;928
1504;01.01.2000;0;0;1;0;0;0;0;0;0;1;0;0;2367;2325;36;0;165.35;864;999;476;928
1604;01.01.2000;0;0;1;0;0;0;0;0;0;1;0;0;2371;2325;39;0;165.35;864;999;476;928
1704;01.01.2000;0;0;1;0;0;0;0;0;0;1;0;0;2367;2325;40;0;165.35;864;999;476;928
1804;01.01.2000;0;0;1;0;0;0;0;0;0;1;0;0;2371;2325;40;0;165.35;864;999;476;928
1904;01.01.2000;0;0;1;0;0;0;0;0;0;1;0;0;2369;2325;42;0;165.35;864;999;476;928
2005;01.01.2000;0;0;2;0;0;0;0;0;0;1;0;0;2367;2325;40;0;165.35;864;999;476;928
2105;01.01.2000;0;0;2;0;0;0;0;0;0;1;0;0;2369;2325;42;0;165.35;864;998;476;928
2205;01.01.2000;0;0;2;0;0;0;0;0;0;1;0;0;2366;2327;44;0;165.35;864;999;476;929
2305;01.01.2000;0;0;2;0;0;0;0;0;0;1;0;0;2370;2327;47;0;165.35;864;999;476;929
2405;01.01.2000;0;0;2;0;0;0;0;0;0;1;0;0;2368;2327;46;0;165.35;864;999;476;929
2505;01.01.2000;0;0;2;0;0;0;0;0;0;1;0;0;2369;2327;47;0;165.35;864;999;476;929
2606;01.01.2000;0;0;2;0;0;0;0;0;0;1;0;0;2369;2327;50;0;165.35;864;999;476;929
2706;01.01.2000;0;0;2;0;0;0;0;0;0;1;0;0;2368;2325;51;0;165.35;864;996;480;928
2807;01.01.2000;0;0;2;0;0;0;0;0;0;1;0;0;2368;2325;51;0;165.35;864;996;480;928
2907;01.01.2000;0;0;2;0;0;0;0;0;0;1;0;0;2368;2325;51;0;165.35;864;996;480;928
3007;01.01.2000;0;0;3;0;0;0;0;0;0;1;0;0;2368;2327;54;0;165.35;864;1001;476;929
3107;01.01.2000;0;0;3;0;0;0;0;0;0;1;0;0;2369;2327;54;0;165.35;864;1001;476;929
3207;01.01.2000;0;0;3;0;0;0;0;0;0;1;0;0;2365;2327;55;0;165.35;864;1001;476;929
3307;01.01.2000;0;0;3;0;0;0;59.9853802;30.1675912;0;1;0;0;2368;2329;57;0;165.35;864;998;476;930
3407;01.01.2000;0;0;3;0;0;0;59.9853802;30.1675912;0;1;0;0;2369;2329;56;0;165.35;864;998;476;930
3507;01.01.2000;0;0;3;0;0;0;59.9853802;30.1675912;0;1;0;0;2368;2329;59;0;165.35;864;998;476;930
3607;01.01.2000;0;0;3;0;0;0;59.9853802;30.1675912;0;1;0;0;2370;2327;59;0;165.35;864;996;476;929
3707;01.01.2000;0;0;3;0;0;0;59.9853802;30.1675912;0;1;0;0;2369;2327;60;0;165.35;864;996;476;929
3807;01.01.2000;0;0;3;0;0;0;59.9853802;30.1675912;0;1;0;0;2371;2327;59;0;165.35;864;996;476;929
3907;01.01.2000;0;0;3;0;0;0;59.9853802;30.1675912;0;1;0;0;2369;2327;62;0;165.35;864;998;476;929
4007;01.01.2000;0;0;4;0;0;0;59.9853802;30.1675912;0;1;0;0;2370;2327;63;0;165.35;864;998;476;929
4107;01.01.2000;0;0;4;0;0;0;59.9853802;30.1675912;0;1;0;0;2366;2327;63;0;165.35;864;998;476;929
4207;01.01.2000;0;0;4;0;0;0;59.9853802;30.1675912;0;1;0;0;2365;2327;65;0;165.35;864;999;480;929
4307;01.01.2000;0;0;4;0;0;0;59.9853802;30.1675912;0;1;0;0;2371;2327;65;0;165.35;864;999;480;929
4407;01.01.2000;0;0;4;0;0;0;59.9853802;30.1675912;0;1;0;0;2372;2327;67;0;165.35;864;999;480;929
4507;01.01.2000;0;0;4;0;0;0;59.9853802;30.1675912;0;1;0;0;2368;2325;66;0;165.35;864;998;476;928
4607;01.01.2000;0;0;4;0;0;0;59.9853802;30.1675912;0;1;0;0;2369;2325;68;0;165.35;864;998;476;928
4707;01.01.2000;0;0;4;0;0;0;59.9853802;30.1675912;0;1;0;0;2369;2325;69;0;165.35;864;1001;476;928
4807;01.01.2000;0;0;4;0;0;0;59.9853802;30.1675912;1;1;0;0;2369;2327;71;0;165.35;864;998;480;929
4907;01.01.2000;0;0;4;0;0;0;59.9853802;30.1675912;0;1;0;0;2371;2327;72;0;165.35;864;998;480;929
5007;01.01.2000;0;0;5;0;0;0;59.9853802;30.1675912;0;1;0;0;2369;2327;72;0;165.35;864;998;476;929
5107;01.01.2000;0;0;5;0;0;0;59.9853802;30.1675912;0;1;0;0;2368;2327;72;0;165.35;864;998;476;929
5207;01.01.2000;0;0;5;0;0;0;59.9853802;30.1675912;0;1;0;0;2370;2327;75;0;165.35;864;998;476;929
5308;01.01.2000;0;0;5;0;0;0;59.9853802;30.1675912;0;1;0;0;2372;2329;75;0;165.35;864;996;476;930
